Apple Services,Service Links
Apple Watch Series 6 Service Programme for Blank Screen Issue,https://support.apple.com/en-in/apple-watch-series6-service-program-for-blank-screen-issue
iPhone 12 and iPhone 12 Pro Service Programme for No Sound Issues,https://support.apple.com/en-in/iphone-12-and-iphone-12-pro-service-program-for-no-sound-issues
iPhone 11 Display Module Replacement Programme for Touch Issues,https://support.apple.com/en-in/iphone-11-display-module-replacement-program
AirPods Pro Service Programme for Sound Issues,https://support.apple.com/en-in/airpods-pro-service-program-sound-issues
iPad Air (3rd generation) Service Programme for Blank Screen Issue,https://support.apple.com/en-in/ipad-air-3rd-gen-program-for-blank-screen-issue
"Smart Battery Case Replacement Programme for iPhone XS, iPhone XS Max and iPhone XR",https://support.apple.com/en-in/iphone-xs-xs-max-xr-smart-battery-case-replacement
15-inch MacBook Pro Battery Recall Programme,https://support.apple.com/en-in/15-inch-macbook-pro-battery-recall
"Keyboard Service Programme for MacBook, MacBook Air and MacBook Pro",https://support.apple.com/en-in/keyboard-service-program-for-mac-notebooks
13-inch MacBook Pro Display Backlight Service Programme,https://support.apple.com/en-in/13-inch-macbook-pro-display-backlight-service
Apple Three-prong AC Wall Plug Adapter Recall Programme,https://support.apple.com/en-in/three-prong-ac-wall-plug-adapter
iPhone X Display Module Replacement Programme for Touch Issues,https://support.apple.com/en-in/iphone-x-display-module-replacement-program
Multi-Touch Repair Programme for iPhone 6 Plus,https://support.apple.com/en-in/iphone6plus-multitouch
Apple AC Wall Plug Adapter Exchange Programme,https://support.apple.com/en-in/ac-wallplug-adapter
Beats Pill XL Speaker Recall Programme,https://support.apple.com/en-in/beats-pillxl-recall
Apple 5W European USB Power Adapter Exchange Programme,https://support.apple.com/en-in/usbadapter-european
USB Power Adapter Takeback Programme,https://support.apple.com/en-in/usbadapter-takeback
